2021-06-16 11:38:14.121847, N50, N45, 315.3858230113983, 318, 300, 20.279853492091245, False, False, ['N50', None, None, None, 'N15', None, None, None, None, 'N18', None, 'N33', 'N15', 'N33', 'N25', 'N15', 'N18', 'N46', None, None, None, None, 'N8', 'N22', 'N45'], ['N50', None, None, None, None, 'N49', None, 'N24', 'N18', None, None, 'N22', 'N40', 'N31', None, 'N8', None, None, 'N40', 'N11', None, 'N27', 'N8', 'N6', 'N45'], 10000, 100, 10000, 1000, 95, 10, 30, 50, 50, 0.4, 3, 100, 10, 500, 1000, 1000, 25
2021-06-16 11:43:29.509377, N1, N28, 304.3483097553253, 321, 300, 20.612935997351205, False, False, ['N1', None, 'N39', None, None, None, None, 'N2', 'N7', 'N34', None, 'N20', None, None, None, None, None, None, 'N51', None, 'N36', None, 'N13', None, 'N28'], ['N1', None, 'N2', None, None, None, None, None, None, 'N39', 'N43', 'N9', None, 'N3', 'N13', None, None, 'N36', 'N51', 'N37', 'N51', 'N13', None, 'N37', 'N28'], 10000, 100, 10000, 1000, 95, 10, 30, 50, 50, 0.4, 3, 100, 10, 500, 1000, 1000, 25
2021-06-16 11:48:33.863742, N4, N28, 81.83349132537842, 103, 100, 2.4732119430029442, True, True, ['N4', None, None, None, None, None, None, None, None, None, None, None, 'N13', None, None, None, None, None, None, None, None, None, None, None, 'N28'], ['N4', None, None, None, None, None, None, None, None, None, None, 'N13', 'N37', None, None, None, None, None, None, None, None, None, None, None, 'N28'], 10000, 100, 10000, 1000, 95, 10, 30, 50, 50, 0.4, 3, 100, 10, 500, 1000, 1000, 25
2021-06-16 11:49:55.702010, N37, N41, 374.62188053131104, 374, 300, 17.20409184512934, False, False, ['N37', 'N28', 'N36', None, 'N13', None, None, 'N4', 'N9', 'N48', None, 'N3', None, 'N21', 'N38', None, None, None, 'N35', None, 'N26', None, None, None, 'N41'], ['N37', 'N51', 'N36', None, None, 'N28', None, None, None, 'N51', 'N20', 'N19', None, 'N20', 'N43', None, None, 'N9', None, None, None, 'N35', 'N38', 'N3', 'N41'], 10000, 100, 10000, 1000, 95, 10, 30, 50, 50, 0.4, 3, 100, 10, 500, 1000, 1000, 25
2021-06-16 11:56:10.329330, N24, N39, 100.93336153030396, 114, 100, -0.627715075029182, True, True, ['N24', None, None, None, None, None, 'N17', None, None, None, None, None, None, None, None, None, None, None, 'N3', None, 'N26', None, 'N43', None, 'N39'], ['N24', None, None, None, None, None, 'N46', None, 'N21', None, None, 'N38', None, None, None, None, None, None, None, None, 'N9', 'N43', 'N42', None, 'N39'], 10000, 100, 10000, 1000, 95, 10, 30, 50, 50, 0.4, 3, 100, 10, 500, 1000, 1000, 25
2021-06-16 11:57:51.274857, N7, N12, 87.49705600738525, 106, 100, 3.2419846660938902, True, True, ['N7', None, None, None, 'N34', None, None, None, None, None, None, None, None, None, None, 'N21', None, None, None, 'N17', None, None, None, None, 'N12'], ['N7', None, None, 'N34', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'N19', 'N46', None, None, 'N12'], 10000, 100, 10000, 1000, 95, 10, 30, 50, 50, 0.4, 3, 100, 10, 500, 1000, 1000, 25
2021-06-16 11:59:18.776355, N6, N43, 325.27666997909546, 320, 300, 14.738095191992604, False, False, ['N6', 'N27', 'N8', 'N40', None, None, None, 'N22', 'N31', None, 'N45', 'N35', None, 'N3', None, 'N9', None, 'N48', None, None, 'N38', 'N41', 'N26', None, 'N43'], ['N6', 'N40', 'N45', None, 'N22', None, 'N8', None, None, None, 'N11', None, 'N27', 'N3', 'N35', None, None, 'N48', 'N26', None, 'N48', 'N41', None, 'N9', 'N43'], 10000, 100, 10000, 1000, 95, 10, 30, 50, 50, 0.4, 3, 100, 10, 500, 1000, 1000, 25
2021-06-16 12:04:44.066728, N31, N28, 324.996559381485, 325, 300, 17.955127690178458, False, False, ['N31', 'N22', 'N40', None, 'N8', None, 'N27', 'N45', None, None, 'N6', None, 'N27', None, None, None, 'N13', None, None, 'N51', 'N36', None, 'N37', None, 'N28'], ['N31', 'N45', None, None, 'N22', None, None, 'N45', 'N8', 'N6', 'N40', 'N11', 'N27', None, None, None, None, None, None, 'N37', 'N36', None, 'N51', None, 'N28'], 10000, 100, 10000, 1000, 95, 10, 30, 50, 50, 0.4, 3, 100, 10, 500, 1000, 1000, 25
2021-06-16 12:10:09.077242, N48, N2, 98.19386959075928, 113, 100, -0.7655383951353301, True, True, ['N48', None, None, None, None, None, None, None, None, None, 'N26', 'N43', None, None, None, None, 'N39', None, None, None, None, None, None, None, 'N2'], ['N48', None, None, None, None, None, None, None, None, None, 'N9', None, None, None, None, None, 'N43', 'N42', None, None, None, 'N39', 'N1', None, 'N2'], 10000, 100, 10000, 1000, 95, 10, 30, 50, 50, 0.4, 3, 100, 10, 500, 1000, 1000, 25
2021-06-16 12:11:47.277523, N8, N16, 85.60691237449646, 104, 100, 6.99198466609389, True, True, ['N8', None, None, None, None, None, None, 'N11', None, None, None, None, None, None, None, 'N29', None, None, None, None, None, None, None, None, 'N16'], ['N8', None, None, None, None, None, None, None, 'N45', 'N11', None, None, None, None, None, 'N29', None, None, None, None, None, None, None, None, 'N16'], 10000, 100, 10000, 1000, 95, 10, 30, 50, 50, 0.4, 3, 100, 10, 500, 1000, 1000, 25
2021-06-16 12:13:12.897817, N4, N6, 297.5170018672943, 316, 300, 20.66208786598529, False, False, ['N4', None, 'N13', 'N36', None, None, None, 'N51', None, None, 'N37', None, 'N31', 'N22', 'N40', 'N11', None, None, 'N45', None, None, 'N11', None, 'N27', 'N6'], ['N4', 'N22', 'N45', None, 'N40', 'N27', None, 'N8', None, 'N45', None, 'N22', 'N8', None, 'N40', 'N45', 'N22', 'N31', 'N45', None, None, None, None, None, 'N6'], 10000, 100, 10000, 1000, 95, 10, 30, 50, 50, 0.4, 3, 100, 10, 500, 1000, 1000, 25
2021-06-16 12:18:10.419164, N2, N19, 294.00176072120667, 321, 300, 8.620872505287707, True, False, ['N2', 'N39', None, None, None, None, 'N43', None, None, None, None, 'N9', 'N38', None, None, 'N21', None, None, None, None, None, None, None, None, 'N19'], ['N2', 'N1', None, None, None, None, 'N41', 'N3', None, 'N17', 'N12', 'N24', 'N17', None, None, None, 'N38', None, 'N3', None, 'N21', 'N46', None, 'N49', 'N19'], 10000, 100, 10000, 1000, 95, 10, 30, 50, 50, 0.4, 3, 100, 10, 500, 1000, 1000, 25
