2021-06-16 09:49:49.828654, N21, N13, 91.56528496742249, 104, 100, 2.7900182248535152, True, True, ['N21', None, None, None, None, None, None, None, None, 'N30', None, None, None, None, None, None, None, None, None, 'N10', None, None, None, None, 'N13'], ['N21', None, None, None, None, None, None, None, None, None, None, None, 'N30', None, None, None, 'N25', None, None, None, None, None, None, None, 'N13'], 10000, 100, 10000, 1000, 95, 10, 30, 50, 50, 0.4, 3, 100, 10, 500, 1000, 1000, 25
2021-06-16 09:51:21.444802, N14, N9, 319.215904712677, 310, 300, 19.438404894339772, False, False, ['N14', None, 'N4', 'N28', 'N13', 'N4', None, None, 'N3', 'N17', None, None, None, None, 'N25', 'N12', None, None, None, 'N8', 'N25', 'N3', 'N4', None, 'N9'], ['N14', 'N28', None, None, 'N4', None, 'N17', 'N13', None, None, 'N10', 'N25', None, 'N10', 'N30', None, 'N12', None, None, 'N6', 'N5', None, 'N6', None, 'N9'], 10000, 100, 10000, 1000, 95, 10, 30, 50, 50, 0.4, 3, 100, 10, 500, 1000, 1000, 25
2021-06-16 09:56:40.712540, N15, N11, 321.4439311027527, 322, 300, 7.905437861372744, True, False, ['N15', None, 'N7', None, None, None, 'N21', None, None, None, None, None, 'N30', None, None, None, 'N25', None, None, None, None, None, 'N3', None, 'N11'], ['N15', 'N6', 'N20', None, 'N5', None, None, None, 'N29', 'N27', 'N4', 'N13', None, None, 'N17', None, 'N25', None, None, None, None, 'N8', 'N25', 'N12', 'N11'], 10000, 100, 10000, 1000, 95, 10, 30, 50, 50, 0.4, 3, 100, 10, 500, 1000, 1000, 25
2021-06-16 10:02:02.173426, N13, N21, 92.14576244354248, 105, 100, 2.788127275830678, True, True, ['N13', None, None, None, None, None, None, None, None, None, None, 'N25', None, None, None, None, None, None, 'N30', None, None, None, None, None, 'N21'], ['N13', None, None, None, None, None, 'N10', None, None, None, None, None, 'N30', None, None, None, None, None, None, None, None, None, None, None, 'N21'], 10000, 100, 10000, 1000, 95, 10, 30, 50, 50, 0.4, 3, 100, 10, 500, 1000, 1000, 25
2021-06-16 10:03:34.370019, N25, N10, 83.79006552696228, 101, 100, -3.3553994082840237, True, True, ['N25', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'N10'], ['N25', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'N30', None, 'N10'], 10000, 100, 10000, 1000, 95, 10, 30, 50, 50, 0.4, 3, 100, 10, 500, 1000, 1000, 25
2021-06-16 10:04:58.254830, N27, N10, 371.465279340744, 329, 300, 16.092063894225884, False, False, ['N27', None, None, 'N6', 'N9', None, 'N6', None, 'N23', None, 'N15', 'N28', None, 'N14', None, 'N13', None, 'N17', None, None, 'N25', 'N12', None, 'N30', 'N10'], ['N27', 'N29', 'N20', None, 'N5', 'N6', 'N15', None, 'N23', 'N20', 'N15', None, None, 'N7', 'N17', None, None, None, None, 'N28', 'N4', 'N13', 'N25', None, 'N10'], 10000, 100, 10000, 1000, 95, 10, 30, 50, 50, 0.4, 3, 100, 10, 500, 1000, 1000, 25
2021-06-16 10:11:09.733047, N18, N7, 393.66688871383667, 417, 300, 12.109046102349001, True, False, ['N18', None, None, 'N26', None, None, None, 'N14', 'N4', None, None, None, 'N17', 'N25', None, None, None, None, None, 'N30', None, 'N21', None, None, 'N7'], ['N18', 'N5', None, None, None, None, None, 'N20', None, None, None, None, 'N27', None, 'N29', None, 'N6', None, None, 'N23', None, 'N15', None, None, 'N7'], 10000, 100, 10000, 1000, 95, 10, 30, 50, 50, 0.4, 3, 100, 10, 500, 1000, 1000, 25
2021-06-16 10:17:43.409908, N25, N27, 341.8434200286865, 318, 300, 17.31796514739817, False, False, ['N25', None, None, None, 'N10', 'N13', 'N4', 'N17', None, 'N3', None, None, 'N15', 'N23', 'N20', None, None, None, 'N6', 'N5', None, 'N29', 'N5', None, 'N27'], ['N25', 'N11', None, 'N3', None, None, 'N4', 'N28', 'N17', 'N13', 'N28', 'N4', 'N10', None, None, 'N6', 'N20', 'N29', None, None, None, 'N6', None, None, 'N27'], 10000, 100, 10000, 1000, 95, 10, 30, 50, 50, 0.4, 3, 100, 10, 500, 1000, 1000, 25
2021-06-16 10:23:25.266294, N25, N12, 83.6494414806366, 101, 100, -3.3553994082840237, True, True, ['N25', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'N12'], ['N25', None, 'N30', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'N12'], 10000, 100, 10000, 1000, 95, 10, 30, 50, 50, 0.4, 3, 100, 10, 500, 1000, 1000, 25
2021-06-16 10:24:48.927672, N11, N29, 327.17260241508484, 335, 300, 9.492290799914564, True, False, ['N11', None, None, None, None, None, 'N12', None, None, 'N30', None, None, None, None, None, 'N21', None, None, None, 'N7', None, 'N15', None, 'N6', 'N29'], ['N11', 'N8', 'N25', 'N13', None, None, 'N10', None, None, 'N30', None, None, 'N27', None, 'N20', None, None, None, 'N5', None, None, 'N6', None, 'N5', 'N29'], 10000, 100, 10000, 1000, 95, 10, 30, 50, 50, 0.4, 3, 100, 10, 500, 1000, 1000, 25
